Airports,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov ,Dec,YearNo,Airports1,Name2
AMRITSAR,0,0,85386,74265,65064,60800,57675,58185,63965,57958,63647,55675,2014,AMRITSAR,
BAGDOGRA,53220,58104,83535,87887,118656,107369,62435,62913,78223,94731,80834,80088,2014,BAGDOGRA,
MADURAI,48450,43963,44284,44346,44450,43583,43555,46173,44456,43312,39697,35660,2014,MADURAI,
PUNE,284539,268432,275995,293163,347398,320998,305560,339492,336625,335229,341132,371889,2014,PUNE,
AHMEDABAD,306521,300910,278382,276721,328798,283584,256289,300538,313978,326272,330730,349183,2014,AHMEDABAD,
VADODARA,67458,65684,59581,58940,70013,62358,56925,57425,53150,60476,56300,63283,2014,VADODARA,
JODHPUR,29688,29348,29285,24158,24377,23577,22464,22828,23669,26196,26573,26819,2014,JODHPUR,
BHOPAL,35721,26545,27322,25715,28721,34803,32878,32137,32383,33473,25762,44987,2014,BHOPAL,
RANCHI,42236,42738,44602,43361,57412,56234,25283,49647,49319,52174,46487,65562,2014,RANCHI,
GOA,312291,280302,436282,290881,290395,272480,246299,285686,317752,330822,351024,380758,2014,GOA,
TRICHY,12049,10511,9063,5896,6512,6862,6526,7190,8207,8127,8327,9659,2014,TRICHY,
AGARTALA,70104,61568,65411,61777,76003,72593,71689,72911,71689,79305,71354,71742,2014,AGARTALA,
RAIPUR,69736,69520,62829,69860,84345,77708,67658,71015,74342,78189,77299,84648,2014,RAIPUR,
UDAIPUR,42531,43881,45000,35806,33089,33311,32814,34815,36764,40190,41343,41926,2014,UDAIPUR,
PORBANDAR,0,0,0,1225,1105,1090,1149,1130,1261,1257,1424,1460,2015,PORBANDAR,
DIBRUGARH,28375,24304,25102,27002,28484,26975,28254,23641,22689,26935,27318,28917,2015,DIBRUGARH,
INDORE,122044,118671,128337,141519,143919,135368,126812,141436,136018,138442,136110,156209,2015,INDORE,
LEH,22491,23118,25210,32872,48223,47404,42482,41416,39241,29541,25584,21455,2015,LEH,
MUMBAI (MIAL),2311493,2254077,2298593,2418961,2567032,2268381,2329524,0,2372492,2419774,2589297,0,2015,MUMBAI,MIAL)
GAYA,6010,4627,4784,3393,1723,1546,1381,1327,1415,4136,5600,8087,2015,GAYA,
GUGGAL(KANGRA),0,0,0,5307,6735,8363,5885,5241,6147,7686,5605,6618,2015,GUGGAL,KANGRA)
AGRA,0,0,0,444,81,8,0,421,117,961,1686,1284,2015,AGRA,
BELGAUM,0,0,0,8481,11561,11023,12623,12250,12098,12348,11399,11777,2015,BELGAUM,
CHENNAI,857197,780480,824352,843560,913382,808419,834565,862049,840426,849918,851041,706003,2015,CHENNAI,
HYDERABAD,0,0,0,0,0,0,0,750248,0,0,0,856682,2015,HYDERABAD,
SRINAGAR,114194,116691,146987,178465,233982,232588,224703,197924,188025,192544,152955,169909,2015,SRINAGAR,
LAKHIMPUR (LILABARI),0,0,0,0,687,662,548,339,475,672,844,459,2015,LAKHIMPUR,LILABARI)
BHUBANESWAR,147675,130826,132587,139794,157589,148606,135722,134612,135177,154001,162965,180223,2015,BHUBANESWAR,
VISAKHAPATNAM,91668,86454,94885,111920,130952,118138,134238,132981,128955,145082,135328,155780,2015,VISAKHAPATNAM,
SILCHAR,0,0,0,17258,9664,17387,18957,17970,17525,17139,17451,16782,2015,SILCHAR,
LUCKNOW,0,0,0,193795,220302,234043,211752,215182,203803,224630,233061,232972,2015,LUCKNOW,
LENGPUI(AIZWAL),0,0,0,13724,14407,13822,15042,14947,14251,14612,14718,15020,2015,LENGPUI,AIZWAL)
CHANDIGARH,66331,105731,121920,124387,147531,138381,127075,122939,127674,125936,128123,116903,2015,CHANDIGARH,
BAGDOGRA,64329,69654,85162,96691,108922,77282,71880,79046,71001,77754,95895,96995,2015,BAGDOGRA,
PANTNAGAR,0,0,0,823,1029,736,437,234,499,894,963,609,2015,PANTNAGAR,
RANCHI,61604,60722,60524,57653,65719,68824,59516,56756,57308,57635,56205,67427,2015,RANCHI,
AGARTALA,77795,71349,75770,71104,81541,76150,75726,77079,57925,82442,77289,70497,2015,AGARTALA,
TUTICORIN,0,0,0,4895,8054,7881,8787,8569,8044,8107,7532,6066,2015,TUTICORIN,
HYDERABAD (GHIAL),691672,646536,658248,698406,761255,702905,753686,0,702794,787150,778865,0,2015,HYDERABAD,GHIAL)
SHOLAPUR,0,0,0,0,0,0,0,0,0,0,0,0,2015,SHOLAPUR,
TRIVANDRUM,102024,83118,80467,88811,97148,88811,88925,97982,89954,94777,95076,102791,2015,TRIVANDRUM,
MYSORE,0,0,0,0,0,0,0,1,431,579,179,0,2015,MYSORE,
PATNA,83500,95866,113469,128530,139535,131979,127659,124281,119204,127561,141525,132292,2015,PATNA,
NAGPUR (MIPL),120791,113670,109237,114677,135852,130099,116966,0,114217,120098,133789,0,2015,NAGPUR,MIPL)
JAMMU,79598,82258,94092,94013,96689,83666,88140,81592,100807,87840,96951,96984,2015,JAMMU,
VARANASI,86183,83634,89165,82756,91955,82556,75618,77054,86767,110120,144155,139446,2015,VARANASI,
RAJKOT,36207,33915,30648,37245,35753,32156,32169,31764,31344,31840,35910,38675,2015,RAJKOT,
VADODARA,62076,58044,53428,65429,83366,70482,68352,71709,72581,70483,84671,91190,2015,VADODARA,
ALLAHABAD,0,0,0,5355,8161,6319,0,4203,4276,4687,4014,3854,2015,ALLAHABAD,
UDAIPUR,42574,42651,42716,39338,36402,33868,40597,43650,40936,45545,81190,90552,2015,UDAIPUR,
KOLKATA,801878,739406,783325,803053,901362,824805,799060,771799,769924,829909,891750,992669,2015,KOLKATA,
JAMNAGAR,0,0,0,6054,8646,6689,5813,6094,5902,6205,8017,8588,2015,JAMNAGAR,
CALICUT,27179,24908,25403,31423,39471,27300,29123,32625,26615,26721,30716,33561,2015,CALICUT,
DIU,0,0,0,2032,2263,1279,1361,2110,1690,2170,2752,3791,2015,DIU,
BANGALORE (BIAL),1126792,1065905,1116941,1208706,1292982,1184267,1277026,0,1207497,1332640,1325623,0,2015,BANGALORE,BIAL)
BHAVNAGAR,0,0,0,0,0,3803,4236,4147,3398,2856,3131,3517,2015,BHAVNAGAR,
MANGALORE,68533,61371,68153,73894,76092,71150,76722,76889,71690,97167,91552,104373,2015,MANGALORE,
COCHIN(CIAL),256561,224195,217483,246846,263767,232743,243604,261119,241234,237367,256845,278249,2015,COCHIN,CIAL)
JORHAT,0,0,0,5019,4756,4030,4873,4632,4315,4285,3934,4333,2015,JORHAT,
DEHRADUN,26563,28922,35776,38635,41583,38705,36444,36534,36874,39490,35060,33850,2015,DEHRADUN,
SURAT,0,0,0,4570,4620,4705,4414,4166,3057,4998,10930,12461,2015,SURAT,
BARAPANI (SHILLONG),0,0,0,1293,1399,1407,742,428,646,1598,1325,504,2015,BARAPANI,SHILLONG)
DELHI,0,0,0,0,0,0,0,2657192,0,0,0,3088283,2015,DELHI,
